Grid Size ,64
 NULL, NodeType, GridX, GridY, Length, Width, Height, PosX, PosY, PosZ
0,0,0,0,2.1875,2.1875070000000107,0,-68.90625,-68.9062385,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,1,2.18749200000002,2.187500000000014,0,-66.71875399999999,-68.90624199999999,0
0,1,1,1,2.187500000000014,2.1875069999999965,0,-66.71875,-66.7187385,0
0,1,1,0,2.1875,2.1875,0,-68.90625,-66.718735,0
0,0,0,1,2.18749200000002,2.187500000000014,0,-66.71875399999999,-68.90624199999999,0
0,1,1,0,2.1875,2.1875,0,-68.90625,-66.718735,0
0,1,0,0,2.1875,2.1875070000000107,0,-68.90625,-68.9062385,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,2,2.1874999999999787,2.187500000000014,0,-64.531258,-68.90624199999999,0
0,1,1,2,2.187499999999986,2.1875,0,-64.53125,-66.71874199999999,0
0,1,1,1,2.187500000000014,2.1875069999999965,0,-66.71875,-66.7187385,0
0,0,0,2,2.1874999999999787,2.187500000000014,0,-64.531258,-68.90624199999999,0
0,1,1,1,2.187500000000014,2.1875069999999965,0,-66.71875,-66.7187385,0
0,1,0,1,2.18749200000002,2.187500000000014,0,-66.71875399999999,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,3,2.1875,2.187500000000014,0,-62.343758,-68.90624199999999,0
0,1,1,3,2.187496000000003,2.1875,0,-62.343751999999995,-66.71874199999999,0
0,1,1,2,2.187499999999986,2.1875,0,-64.53125,-66.71874199999999,0
0,0,0,3,2.1875,2.187500000000014,0,-62.343758,-68.90624199999999,0
0,1,1,2,2.187499999999986,2.1875,0,-64.53125,-66.71874199999999,0
0,1,0,2,2.1874999999999787,2.187500000000014,0,-64.531258,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,4,2.187499999999993,2.187500000000014,0,-60.15625800000001,-68.90624199999999,0
0,1,1,4,2.187495999999989,2.1875,0,-60.156256,-66.71874199999999,0
0,1,1,3,2.187496000000003,2.1875,0,-62.343751999999995,-66.71874199999999,0
0,0,0,4,2.187499999999993,2.187500000000014,0,-60.15625800000001,-68.90624199999999,0
0,1,1,3,2.187496000000003,2.1875,0,-62.343751999999995,-66.71874199999999,0
0,1,0,3,2.1875,2.187500000000014,0,-62.343758,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,5,2.187500000000007,2.187500000000014,0,-57.96875800000001,-68.90624199999999,0
0,1,1,5,2.187500000000007,2.1875,0,-57.96875800000001,-66.71874199999999,0
0,1,1,4,2.187495999999989,2.1875,0,-60.156256,-66.71874199999999,0
0,0,0,5,2.187500000000007,2.187500000000014,0,-57.96875800000001,-68.90624199999999,0
0,1,1,4,2.187495999999989,2.1875,0,-60.156256,-66.71874199999999,0
0,1,0,4,2.187499999999993,2.187500000000014,0,-60.15625800000001,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,6,2.1875,2.187500000000014,0,-55.781258,-68.90624199999999,0
0,1,1,6,2.1875,2.1875,0,-55.781258,-66.71874199999999,0
0,1,1,5,2.187500000000007,2.1875,0,-57.96875800000001,-66.71874199999999,0
0,0,0,6,2.1875,2.187500000000014,0,-55.781258,-68.90624199999999,0
0,1,1,5,2.187500000000007,2.1875,0,-57.96875800000001,-66.71874199999999,0
0,1,0,5,2.187500000000007,2.187500000000014,0,-57.96875800000001,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,7,2.1875,2.187500000000014,0,-53.593758,-68.90624199999999,0
0,1,1,7,2.1875,2.1875,0,-53.593758,-66.71874199999999,0
0,1,1,6,2.1875,2.1875,0,-55.781258,-66.71874199999999,0
0,0,0,7,2.1875,2.187500000000014,0,-53.593758,-68.90624199999999,0
0,1,1,6,2.1875,2.1875,0,-55.781258,-66.71874199999999,0
0,1,0,6,2.1875,2.187500000000014,0,-55.781258,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,8,2.1875,2.187500000000014,0,-51.406258,-68.90624199999999,0
0,1,1,8,2.1875,2.1875,0,-51.406258,-66.71874199999999,0
0,1,1,7,2.1875,2.1875,0,-53.593758,-66.71874199999999,0
0,0,0,8,2.1875,2.187500000000014,0,-51.406258,-68.90624199999999,0
0,1,1,7,2.1875,2.1875,0,-53.593758,-66.71874199999999,0
0,1,0,7,2.1875,2.187500000000014,0,-53.593758,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,9,2.187499999999993,2.187500000000014,0,-49.21875800000001,-68.90624199999999,0
0,1,1,9,2.187499999999993,2.1875,0,-49.21875800000001,-66.71874199999999,0
0,1,1,8,2.1875,2.1875,0,-51.406258,-66.71874199999999,0
0,0,0,9,2.187499999999993,2.187500000000014,0,-49.21875800000001,-68.90624199999999,0
0,1,1,8,2.1875,2.1875,0,-51.406258,-66.71874199999999,0
0,1,0,8,2.1875,2.187500000000014,0,-51.406258,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,10,2.187500000000007,2.187500000000014,0,-47.03125800000001,-68.90624199999999,0
0,1,1,10,2.187500000000007,2.1875,0,-47.03125800000001,-66.71874199999999,0
0,1,1,9,2.187499999999993,2.1875,0,-49.21875800000001,-66.71874199999999,0
0,0,0,10,2.187500000000007,2.187500000000014,0,-47.03125800000001,-68.90624199999999,0
0,1,1,9,2.187499999999993,2.1875,0,-49.21875800000001,-66.71874199999999,0
0,1,0,9,2.187499999999993,2.187500000000014,0,-49.21875800000001,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,11,2.1875,2.187500000000014,0,-44.843758,-68.90624199999999,0
0,1,1,11,2.1875,2.1875,0,-44.843758,-66.71874199999999,0
0,1,1,10,2.187500000000007,2.1875,0,-47.03125800000001,-66.71874199999999,0
0,0,0,11,2.1875,2.187500000000014,0,-44.843758,-68.90624199999999,0
0,1,1,10,2.187500000000007,2.1875,0,-47.03125800000001,-66.71874199999999,0
0,1,0,10,2.187500000000007,2.187500000000014,0,-47.03125800000001,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,12,2.187499999999993,2.187500000000014,0,-42.65625800000001,-68.90624199999999,0
0,1,1,12,2.187499999999993,2.1875,0,-42.65625800000001,-66.71874199999999,0
0,1,1,11,2.1875,2.1875,0,-44.843758,-66.71874199999999,0
0,0,0,12,2.187499999999993,2.187500000000014,0,-42.65625800000001,-68.90624199999999,0
0,1,1,11,2.1875,2.1875,0,-44.843758,-66.71874199999999,0
0,1,0,11,2.1875,2.187500000000014,0,-44.843758,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,13,2.187500000000007,2.187500000000014,0,-40.46875800000001,-68.90624199999999,0
0,1,1,13,2.187500000000007,2.1875,0,-40.46875800000001,-66.71874199999999,0
0,1,1,12,2.187499999999993,2.1875,0,-42.65625800000001,-66.71874199999999,0
0,0,0,13,2.187500000000007,2.187500000000014,0,-40.46875800000001,-68.90624199999999,0
0,1,1,12,2.187499999999993,2.1875,0,-42.65625800000001,-66.71874199999999,0
0,1,0,12,2.187499999999993,2.187500000000014,0,-42.65625800000001,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,14,2.1875,2.187500000000014,0,-38.281258,-68.90624199999999,0
0,1,1,14,2.1875,2.1875,0,-38.281258,-66.71874199999999,0
0,1,1,13,2.187500000000007,2.1875,0,-40.46875800000001,-66.71874199999999,0
0,0,0,14,2.1875,2.187500000000014,0,-38.281258,-68.90624199999999,0
0,1,1,13,2.187500000000007,2.1875,0,-40.46875800000001,-66.71874199999999,0
0,1,0,13,2.187500000000007,2.187500000000014,0,-40.46875800000001,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,15,2.1875,2.187500000000014,0,-36.093758,-68.90624199999999,0
0,1,1,15,2.1875,2.1875,0,-36.093758,-66.71874199999999,0
0,1,1,14,2.1875,2.1875,0,-38.281258,-66.71874199999999,0
0,0,0,15,2.1875,2.187500000000014,0,-36.093758,-68.90624199999999,0
0,1,1,14,2.1875,2.1875,0,-38.281258,-66.71874199999999,0
0,1,0,14,2.1875,2.187500000000014,0,-38.281258,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,16,2.1875,2.187500000000014,0,-33.906258,-68.90624199999999,0
0,1,1,16,2.1875,2.1875,0,-33.906258,-66.71874199999999,0
0,1,1,15,2.1875,2.1875,0,-36.093758,-66.71874199999999,0
0,0,0,16,2.1875,2.187500000000014,0,-33.906258,-68.90624199999999,0
0,1,1,15,2.1875,2.1875,0,-36.093758,-66.71874199999999,0
0,1,0,15,2.1875,2.187500000000014,0,-36.093758,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,17,2.1875,2.187500000000014,0,-31.718758,-68.90624199999999,0
0,1,1,17,2.1875,2.1875,0,-31.718758,-66.71874199999999,0
0,1,1,16,2.1875,2.1875,0,-33.906258,-66.71874199999999,0
0,0,0,17,2.1875,2.187500000000014,0,-31.718758,-68.90624199999999,0
0,1,1,16,2.1875,2.1875,0,-33.906258,-66.71874199999999,0
0,1,0,16,2.1875,2.187500000000014,0,-33.906258,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,18,2.1875,2.187500000000014,0,-29.531258,-68.90624199999999,0
0,1,1,18,2.1875,2.1875,0,-29.531258,-66.71874199999999,0
0,1,1,17,2.1875,2.1875,0,-31.718758,-66.71874199999999,0
0,0,0,18,2.1875,2.187500000000014,0,-29.531258,-68.90624199999999,0
0,1,1,17,2.1875,2.1875,0,-31.718758,-66.71874199999999,0
0,1,0,17,2.1875,2.187500000000014,0,-31.718758,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,19,2.1875,2.187500000000014,0,-27.343758,-68.90624199999999,0
0,1,1,19,2.1875,2.1875,0,-27.343758,-66.71874199999999,0
0,1,1,18,2.1875,2.1875,0,-29.531258,-66.71874199999999,0
0,0,0,19,2.1875,2.187500000000014,0,-27.343758,-68.90624199999999,0
0,1,1,18,2.1875,2.1875,0,-29.531258,-66.71874199999999,0
0,1,0,18,2.1875,2.187500000000014,0,-29.531258,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,20,2.1875000000000036,2.187500000000014,0,-25.156258,-68.90624199999999,0
0,1,1,20,2.1875000000000036,2.1875,0,-25.156258,-66.71874199999999,0
0,1,1,19,2.1875,2.1875,0,-27.343758,-66.71874199999999,0
0,0,0,20,2.1875000000000036,2.187500000000014,0,-25.156258,-68.90624199999999,0
0,1,1,19,2.1875,2.1875,0,-27.343758,-66.71874199999999,0
0,1,0,19,2.1875,2.187500000000014,0,-27.343758,-68.90624199999999,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,21,2.1874999999999964,2.187500000000014,0,-22.968758,-68.90624199999999,0
0,1,1,21,2.1875019999999985,2.1875,0,-22.968756999999997,-66.71874199999999,0
0,1,1,20,2.1875000000000036,2.1875,0,-25.156258,-66.71874199999999,0
0,0,0,21,2.1874999999999964,2.187500000000014,0,-22.968758,-68.90624199999999,0
